"Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint"
"Sizing:Parameters","Sizing_C_Parameters","Heating Sizing Factor",1.33,0.931,1.729,"uniform","float",1,NA
"Sizing:Parameters","Sizing_C_Parameters","Cooling Sizing Factor",1.33,0.931,1.729,"uniform","float",1,NA
"Lights","Banquet_Flr_6_Lights","Watts per Zone Floor Area",13.99,9.793,18.187,"uniform","float",2,NA
"Lights","Basement_Lights","Watts per Zone Floor Area",10.76,7.532,13.988,"uniform","float",2,NA
"Lights","Cafe_Flr_1_Lights","Watts per Zone Floor Area",13.99,9.793,18.187,"uniform","float",2,NA
"Lights","Corridor_Flr_3_Lights","Watts per Zone Floor Area",5.38,3.766,6.994,"uniform","float",2,NA
"Lights","Corridor_Flr_6_Lights","Watts per Zone Floor Area",5.38,3.766,6.994,"uniform","float",2,NA
"Lights","Dining_Flr_6_Lights","Watts per Zone Floor Area",13.99,9.793,18.187,"uniform","float",2,NA
"Lights","Kitchen_Flr_6_Lights","Watts per Zone Floor Area",12.91,9.037,16.783,"uniform","float",2,NA
"Lights","Laundry_Flr_1_Lights","Watts per Zone Floor Area",6.46,4.522,8.398,"uniform","float",2,NA
"Lights","Lobby_Flr_1_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Retail_1_Flr_1_Lights","Watts per Zone Floor Area",16.14,11.298,20.982,"uniform","float",2,NA
"Lights","Retail_2_Flr_1_Lights","Watts per Zone Floor Area",16.14,11.298,20.982,"uniform","float",2,NA
"Lights","Room_1_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Room_1_Flr_6_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Room_2_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Room_2_Flr_6_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Room_3_Mult19_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Room_3_Mult9_Flr_6_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Room_4_Mult19_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Room_5_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Room_6_Flr_3_Lights","Watts per Zone Floor Area",11.84,8.288,15.392,"uniform","float",2,NA
"Lights","Storage_Flr_1_Lights","Watts per Zone Floor Area",9.68,6.776,12.584,"uniform","float",2,NA
"ElectricEquipment","Banquet_Flr_6_MiscPlug_Equip","Design Level",22492,15744.4,29239.6,"uniform","float",3,NA
"ElectricEquipment","Basement_MiscPlug_Equip","Watts per Zone Floor Area",5.38,3.766,6.994,"uniform","float",2,NA
"ElectricEquipment","Cafe_Flr_1_MiscPlug_Equip","Watts per Zone Floor Area",5.38,3.766,6.994,"uniform","float",2,NA
"ElectricEquipment","Dining_Flr_6_MiscPlug_Equip","Design Level",22492,15744.4,29239.6,"uniform","float",3,NA
"ElectricEquipment","Kitchen_Flr_6_ExhFan_Equip","Design Level",698,488.6,907.4,"uniform","float",3,NA
"ElectricEquipment","Kitchen_Flr_6_MiscElec_Equip","Design Level",52481,36736.7,68225.3,"uniform","float",3,NA
