Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint,FieldName
Coil:Cooling:DX:TwoSpeed,Dining ZN PSZ-AC 2spd DX AC Clg Coil 341kBtu/hr 9.5EER,4,3.46509885741508,2.425569200190556,4.504628514639604,uniform,float,,,High Speed Gross Rated Cooling COP
Coil:Cooling:DX:TwoSpeed,Dining ZN PSZ-AC 2spd DX AC Clg Coil 341kBtu/hr 9.5EER,16,3.46509885741508,2.425569200190556,4.504628514639604,uniform,float,,,Low speed Gross Rated Cooling COP
Coil:Cooling:DX:TwoSpeed,Dining ZN PSZ-AC 2spd DX AC Clg Coil 341kBtu/hr 9.5EER,31,10.0,7.0,13.0,uniform,float,,,Basin Heater Capacity
Coil:Cooling:DX:TwoSpeed,Dining ZN PSZ-AC 2spd DX AC Clg Coil 341kBtu/hr 9.5EER,32,2.0,2,2.6,uniform,float,,,Basin Heater Setpoint Temperature
Coil:Cooling:DX:TwoSpeed,Kitchen ZN PSZ-AC 2spd DX AC Clg Coil 159kBtu/hr 9.7EER,4,3.39955528890363,2.379688702232541,4.419421875574719,uniform,float,,,High Speed Gross Rated Cooling COP
Coil:Cooling:DX:TwoSpeed,Kitchen ZN PSZ-AC 2spd DX AC Clg Coil 159kBtu/hr 9.7EER,16,3.39955528890363,2.379688702232541,4.419421875574719,uniform,float,,,Low speed Gross Rated Cooling COP
Coil:Cooling:DX:TwoSpeed,Kitchen ZN PSZ-AC 2spd DX AC Clg Coil 159kBtu/hr 9.7EER,31,10.0,7.0,13.0,uniform,float,,,Basin Heater Capacity
Coil:Cooling:DX:TwoSpeed,Kitchen ZN PSZ-AC 2spd DX AC Clg Coil 159kBtu/hr 9.7EER,32,2.0,2,2.6,uniform,float,,,Basin Heater Setpoint Temperature
Coil:Heating:Electric,Dining ZN PSZ-AC No Backup Heat,2,1.0,0.7,1,uniform,float,,,Efficiency
Coil:Heating:Electric,Kitchen ZN PSZ-AC No Backup Heat,2,1.0,0.7,1,uniform,float,,,Efficiency
Coil:Heating:Fuel,Dining ZN PSZ-AC Gas Htg Coil,8,0.8,0.5599999999999999,1,uniform,float,,,Stage 1 Gas Burner Efficiency
Coil:Heating:Fuel,Kitchen ZN PSZ-AC Gas Htg Coil,8,0.8,0.5599999999999999,1,uniform,float,,,Stage 1 Gas Burner Efficiency
Controller:OutdoorAir,Dining ZN PSZ-AC OA Sys Controller,9,28.0,25.2,30.800000000000004,uniform,float,,,Economizer Maximum Limit Dry-Bulb Temperature
Controller:OutdoorAir,Dining ZN PSZ-AC OA Sys Controller,10,64000.0,44800.0,83200.0,uniform,float,,,Economizer Maximum Limit Enthalpy
Controller:OutdoorAir,Dining ZN PSZ-AC OA Sys Controller,13,-100.0,-90.0,-110.00000000000001,uniform,float,,,Economizer Minimum Limit Dry-Bulb Temperature
Controller:OutdoorAir,Kitchen ZN PSZ-AC OA Sys Controller,9,28.0,25.2,30.800000000000004,uniform,float,,,Economizer Maximum Limit Dry-Bulb Temperature
Controller:OutdoorAir,Kitchen ZN PSZ-AC OA Sys Controller,10,64000.0,44800.0,83200.0,uniform,float,,,Economizer Maximum Limit Enthalpy
Controller:OutdoorAir,Kitchen ZN PSZ-AC OA Sys Controller,13,-100.0,-90.0,-110.00000000000001,uniform,float,,,Economizer Minimum Limit Dry-Bulb Temperature
ElectricEquipment,FullServiceRestaurant Dining Elec Equip,5,64.927907633593,45.449535343515095,84.4062799236709,uniform,float,,,Watts per Zone Floor Area
ElectricEquipment,FullServiceRestaurant Kitchen Elec Equip,5,403.969557939116,282.7786905573812,525.1604253208508,uniform,float,,,Watts per Zone Floor Area
ElectricEquipment,Kitchen_Reach-in-Freezer,4,515.917,361.1419,670.6921000000001,uniform,float,,,Design Level
ElectricEquipment,Kitchen_Reach-in-Refrigerator,4,851.67,596.169,1107.171,uniform,float,,,Design Level
Exterior:Lights,NonDimming Exterior Lights Def,2,3695.0,2586.5,4803.5,uniform,float,,,Design Level
Fan:ConstantVolume,Dining ZN PSZ-AC Fan,2,0.58175,0.523575,0.6399250000000001,uniform,float,,,Fan Total Efficiency
Fan:ConstantVolume,Dining ZN PSZ-AC Fan,3,1110.9365386,777.6555770199999,1444.21750018,uniform,float,,,Pressure Rise
Fan:ConstantVolume,Dining ZN PSZ-AC Fan,5,0.895,0.6265,1,uniform,float,,,Motor Efficiency
Fan:ConstantVolume,Dining ZN PSZ-AC Fan,6,1.0,0.7,1,uniform,float,,,Motor In Airstream Fraction
Fan:ConstantVolume,Kitchen ZN PSZ-AC Fan,2,0.56875,0.511875,0.625625,uniform,float,,,Fan Total Efficiency
Fan:ConstantVolume,Kitchen ZN PSZ-AC Fan,3,622.722275,435.90559249999995,809.5389575,uniform,float,,,Pressure Rise
Fan:ConstantVolume,Kitchen ZN PSZ-AC Fan,5,0.875,0.6124999999999999,1,uniform,float,,,Motor Efficiency
Fan:ConstantVolume,Kitchen ZN PSZ-AC Fan,6,1.0,0.7,1,uniform,float,,,Motor In Airstream Fraction
Lights,FullServiceRestaurant Dining Lights,5,22.6042118750904,15.822948312563279,29.38547543761752,uniform,float,,,Watts per Zone Floor Area
Lights,FullServiceRestaurant Kitchen Lights,5,12.9166925000517,9.04168475003619,16.791700250067212,uniform,float,,,Watts per Zone Floor Area
Material,100mm Normalweight concrete floor,2,0.1016,0.07111999999999999,0.13208,uniform,float,,,Thickness
Material,100mm Normalweight concrete floor,3,2.31,1.617,3.003,uniform,float,,,Conductivity
Material,100mm Normalweight concrete floor,4,2322.0,1625.3999999999999,3018.6,uniform,float,,,Density
Material,100mm Normalweight concrete floor,5,832.0,582.4,1081.6000000000001,uniform,float,,,Specific Heat
Material,100mm Normalweight concrete floor,6,0.9,0.63,0.99999,uniform,float,,,Thermal Absorptance
Material,100mm Normalweight concrete floor,7,0.7,0.48999999999999994,0.9099999999999999,uniform,float,,,Solar Absorptance
Material,100mm Normalweight concrete floor,8,0.7,0.48999999999999994,0.9099999999999999,uniform,float,,,Visible Absorptance
Material,25mm Stucco,2,0.0254,0.017779999999999997,0.03302,uniform,float,,,Thickness
Material,25mm Stucco,3,0.719999999999999,0.5039999999999992,0.9359999999999987,uniform,float,,,Conductivity
Material,25mm Stucco,4,1855.99999999999,1299.199999999993,2412.799999999987,uniform,float,,,Density
Material,25mm Stucco,5,839.999999999997,587.9999999999978,1091.9999999999961,uniform,float,,,Specific Heat
Material,25mm Stucco,6,0.9,0.63,0.99999,uniform,float,,,Thermal Absorptance
Material,25mm Stucco,7,0.7,0.48999999999999994,0.9099999999999999,uniform,float,,,Solar Absorptance
Material,25mm Stucco,8,0.7,0.48999999999999994,0.9099999999999999,uniform,float,,,Visible Absorptance
Material,4 in. Normalweight Concrete Floor,2,0.1016,0.07111999999999999,0.13208,uniform,float,,,Thickness
Material,4 in. Normalweight Concrete Floor,3,2.31,1.617,3.003,uniform,float,,,Conductivity
Material,4 in. Normalweight Concrete Floor,4,2321.99999999999,1625.3999999999928,3018.599999999987,uniform,float,,,Density
Material,4 in. Normalweight Concrete Floor,5,831.999999999997,582.3999999999979,1081.5999999999963,uniform,float,,,Specific Heat
